actions/0/name,adm/0,adm/1,adm/2,date,schools_closed,source,sourceFull/_id,sourceFull/url,traveller_quarantine,actions/1/_id,actions/1/name,actions/2/_id,actions/2/name,border_control,actions/3/_id,actions/3/name,actions/4/_id,actions/4/name,closure_leisureandbars,lockdown,home_office,primary_residence,test_limitations,actions/5/_id,actions/5/name,actions/6/_id,actions/6/name
border_control,CO,,,2020-03-20T00:00:00Z,TRUE,https://www.welt.de/politik/ausland/article206655991/Coronavirus-Kolumbien-sperrt-jetzt-die-Alten-ein.html,5e765b810676182fef882374,https://www.welt.de/politik/ausland/article206655991/Coronavirus-Kolumbien-sperrt-jetzt-die-Alten-ein.html,TRUE,5e765a270676182fef881d89,closure_leisureandbars,5e765a280676182fef881d8c,lockdown,TRUE,5e764db948154944524ea038,schools_closed,5e765a290676182fef881d90,traveller_quarantine,TRUE,TRUE,,,,,,,
border_control,CO,,,2020-03-24T00:00:00Z,TRUE,https://www.reuters.com/article/us-health-coronavirus-colombia-quarantin/colombia-to-hold-19-day-quarantine-to-fight-coronavirus-idUSKBN218068,5e765b840676182fef882381,https://www.reuters.com/article/us-health-coronavirus-colombia-quarantin/colombia-to-hold-19-day-quarantine-to-fight-coronavirus-idUSKBN218068,TRUE,5e765a270676182fef881d89,closure_leisureandbars,5e765a280676182fef881d8c,lockdown,TRUE,5e764db948154944524ea038,schools_closed,5e765a290676182fef881d90,traveller_quarantine,TRUE,TRUE,,,,,,,
border_control,CR,,,2020-03-13T00:00:00Z,TRUE,https://www.larepublica.net/noticia/ministerio-de-educacion-suspende-lecciones-en-317-centros-educativos,5e7671d70b86158bd45e9974,https://www.larepublica.net/noticia/ministerio-de-educacion-suspende-lecciones-en-317-centros-educativos,TRUE,5e764db948154944524ea038,schools_closed,5e765a290676182fef881d90,traveller_quarantine,TRUE,,,,,,,,,,,,,
border_control,CR,,,2020-03-15T00:00:00Z,TRUE,https://www.elmundo.cr/costa-rica/ministerio-de-salud-anuncia-cierre-de-todos-los-bares-discotecas-y-casinos/,5e7671d80b86158bd45e997c,https://www.elmundo.cr/costa-rica/ministerio-de-salud-anuncia-cierre-de-todos-los-bares-discotecas-y-casinos/,TRUE,5e765a270676182fef881d89,closure_leisureandbars,5e764db948154944524ea038,schools_closed,TRUE,5e765a290676182fef881d90,traveller_quarantine,,,TRUE,,,,,,,,
schools_closed,CZ,,,2020-03-11T00:00:00Z,TRUE,https://www.vlada.cz/cz/media-centrum/aktualne/aktualni-informace-ke-koronaviru-2019-ncov-179250/,5e765bc50676182fef8824a1,https://www.vlada.cz/cz/media-centrum/aktualne/aktualni-informace-ke-koronaviru-2019-ncov-179250/,,,,,,,,,,,,,,,,,,,
closure_leisureandbars,CZ,,,2020-03-14T00:00:00Z,TRUE,https://www.vlada.cz/cz/media-centrum/aktualne/aktualni-informace-ke-koronaviru-2019-ncov-179250/,5e765bc50676182fef8824a1,https://www.vlada.cz/cz/media-centrum/aktualne/aktualni-informace-ke-koronaviru-2019-ncov-179250/,,5e764db948154944524ea038,schools_closed,,,,,,,,TRUE,,,,,,,,
border_control,CZ,,,2020-03-16T00:00:00Z,TRUE,https://www.vlada.cz/cz/media-centrum/aktualne/aktualni-informace-ke-koronaviru-2019-ncov-179250/,5e765bc50676182fef8824a1,https://www.vlada.cz/cz/media-centrum/aktualne/aktualni-informace-ke-koronaviru-2019-ncov-179250/,TRUE,5e765a270676182fef881d86,home_office,5e765a270676182fef881d89,closure_leisureandbars,TRUE,5e765a280676182fef881d8c,lockdown,5e764db948154944524ea038,schools_closed,TRUE,TRUE,TRUE,TRUE,,5e765a290676182fef881d90,traveller_quarantine,5e765a290676182fef881d93,primary_residence
home_office,DK,,,2020-03-13T00:00:00Z,,https://www.regeringen.dk/nyheder/pressemoede-11-marts-i-spejlsalen/,5e765b720676182fef882333,https://www.regeringen.dk/nyheder/pressemoede-11-marts-i-spejlsalen/,,,,,,,,,,,,,TRUE,,,,,,
schools_closed,DK,,,2020-03-16T00:00:00Z,TRUE,https://www.tagesschau.de/ausland/corona-daenemark-101.html,5e765b750676182fef882340,https://www.tagesschau.de/ausland/corona-daenemark-101.html,,,,,,,,,,,,,,,,,,,
border_control,DK,,,2020-03-14T00:00:00Z,,https://www.dr.dk/nyheder/indland/statsministeren-danmarks-graenser-lukker-fra-klokken-12-i-morgen,5e765b780676182fef88234d,https://www.dr.dk/nyheder/indland/statsministeren-danmarks-graenser-lukker-fra-klokken-12-i-morgen,,,,,,TRUE,,,,,,,,,,,,,
schools_closed,EC,,,2020-03-12T00:00:00Z,TRUE,https://coronavirusecuador.com/acuerdos-ministeriales/,5e7671e00b86158bd45e99a4,https://coronavirusecuador.com/acuerdos-ministeriales/,,,,,,,,,,,,,,,,,,,
border_control,EC,,,2020-03-14T00:00:00Z,TRUE,https://coronavirusecuador.com/acuerdos-ministeriales/,5e7671e00b86158bd45e99a4,https://coronavirusecuador.com/acuerdos-ministeriales/,TRUE,5e765a270676182fef881d86,home_office,5e765a270676182fef881d89,closure_leisureandbars,TRUE,5e764db948154944524ea038,schools_closed,5e765a290676182fef881d90,traveller_quarantine,TRUE,,TRUE,TRUE,,5e765a290676182fef881d93,primary_residence,,
border_control,EU,,,2020-03-17T00:00:00Z,,https://www.npr.org/sections/goatsandsoda/2020/03/17/816994811/eu-to-shut-borders-as-france-germany-tighten-restrictions-to-control-coronavirus?t=1584775268237,5e765a860676182fef881f35,https://www.npr.org/sections/goatsandsoda/2020/03/17/816994811/eu-to-shut-borders-as-france-germany-tighten-restrictions-to-control-coronavirus?t=1584775268237,,,,,,TRUE,,,,,,,,,,,,,
lockdown,FR,,,2020-03-17T00:00:00Z,TRUE,https://www.gouvernement.fr/info-coronavirus,5e765a780676182fef881ef4,https://www.gouvernement.fr/info-coronavirus,,5e764db948154944524ea038,schools_closed,,,,,,,,,TRUE,,,,,,,
schools_closed,FR,,,2020-03-16T00:00:00Z,TRUE,https://www.franceinter.fr/politique/coronavirus-macron-annonce-la-fermeture-des-ecoles-creches-et-universites-a-partir-de-lundi,5e765a7b0676182fef881f01,https://www.franceinter.fr/politique/coronavirus-macron-annonce-la-fermeture-des-ecoles-creches-et-universites-a-partir-de-lundi,,,,,,,,,,,,,,,,,,,
border_control,DE,,,2020-03-18T00:00:00Z,,,5e765a640676182fef881e9f,,,5e765a270676182fef881d86,home_office,5e765a280676182fef881d8c,lockdown,TRUE,,,,,,TRUE,TRUE,,,,,,
,DE,9,,2020-01-01T00:00:00Z,,,5e765a640676182fef881e9f,,,,,,,,,,,,,,,,,,,,
border_control,DE,9,,2020-03-01T00:00:00Z,,,5e765a640676182fef881e9f,,,5e765a270676182fef881d86,home_office,,,TRUE,,,,,,,TRUE,,,,,,
schools_closed,DE,,,2020-03-17T00:00:00Z,TRUE,"https://km-bw.de/,Lde/Startseite/Ablage+Einzelseiten+gemischte+Themen/FAQS+Schulschliessungen",5e7671e80b86158bd45e99ce,"https://km-bw.de/,Lde/Startseite/Ablage+Einzelseiten+gemischte+Themen/FAQS+Schulschliessungen",,,,,,,,,,,,,,,,,,,
closure_leisureandbars,DE,,,2020-03-21T00:00:00Z,,https://www.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/landesregierung-beschliesst-massnahmen-gegen-die-ausbreitung-des-coronavirus/,5e7671e90b86158bd45e99d4,https://www.baden-wuerttemberg.de/de/service/presse/pressemitteilung/pid/landesregierung-beschliesst-massnahmen-gegen-die-ausbreitung-des-coronavirus/,,,,,,,,,,,TRUE,,,,,,,,
,DE,,,2020-03-07T00:00:00Z,,https://www.gmuender-tagespost.de/1876653/,5e7671ea0b86158bd45e99da,https://www.gmuender-tagespost.de/1876653/,,,,,,,,,,,,,,,,,,,
schools_closed,DE,,,2020-03-14T00:00:00Z,TRUE,https://www.berlin.de/rbmskzl/aktuelles/rathaus-aktuell/2020/meldung.906890.php,5e7671eb0b86158bd45e99df,https://www.berlin.de/rbmskzl/aktuelles/rathaus-aktuell/2020/meldung.906890.php,,,,,,,,,,,,,,,,,,,
closure_leisureandbars,DE,,,2020-03-17T00:00:00Z,,https://www.berlin.de/corona/massnahmen/verordnung/,5e7671ec0b86158bd45e99e5,https://www.berlin.de/corona/massnahmen/verordnung/,,,,,,,,,,,TRUE,,,,,,,,
schools_closed,DE,,,2020-03-13T00:00:00Z,TRUE,https://mbjs.brandenburg.de/aktuelles/pressemitteilungen.html?news=bb1.c.661487.de,5e7671ed0b86158bd45e99eb,https://mbjs.brandenburg.de/aktuelles/pressemitteilungen.html?news=bb1.c.661487.de,,,,,,,,,,,,,,,,,,,
closure_leisureandbars,DE,,,2020-03-17T00:00:00Z,,https://www.brandenburg.de/sixcms/detail.php?id=947373,5e7671ee0b86158bd45e99f1,https://www.brandenburg.de/sixcms/detail.php?id=947373,,,,,,,,,,,TRUE,,,,,,,,
schools_closed,DE,,,2020-03-14T00:00:00Z,TRUE,https://www.amtliche-bekanntmachungen.bremen.de/allgemeinverfuegung-ueber-das-verbot-des-schul--und-unterrichtsbetriebes-an-privatschulen-und-das-verbot-der-k-46846797,5e7671ef0b86158bd45e99f7,https://www.amtliche-bekanntmachungen.bremen.de/allgemeinverfuegung-ueber-das-verbot-des-schul--und-unterrichtsbetriebes-an-privatschulen-und-das-verbot-der-k-46846797,,,,,,,,,,,,,,,,,,,
closure_leisureandbars,DE,,,2020-03-20T00:00:00Z,,https://www.amtliche-bekanntmachungen.bremen.de/allgemeinverfuegung-ueber-das-verbot-von-veranstaltungen-zusammenkuenften-und-der-oeffnung-bestimmter-betriebe-46848348,5e7671f00b86158bd45e99fd,https://www.amtliche-bekanntmachungen.bremen.de/allgemeinverfuegung-ueber-das-verbot-von-veranstaltungen-zusammenkuenften-und-der-oeffnung-bestimmter-betriebe-46848348,,,,,,,,,,,TRUE,,,,,,,,
